Edge	Score_init	Score_changed
gln__L_e (pp) adp_c	1.0	4.0
gln__L_e (pp) pi_c	1.0	4.0
gln__L_e (pp) gln__L_c	1.0	4.0
GLNabc (pp) GLNabc	1.0	4.0
GLNabc (pp) h_c	1.0	4.0
GLNabc (pp) adp_c	1.0	4.0
GLNabc (pp) pi_c	1.0	4.0
GLNabc (pp) gln__L_c	1.0	4.0
h2o_c (pp) GLUDy	1.0	4.0
h2o_c (pp) akg_c	1.0	4.0
h2o_c (pp) nadph_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) nh4_c	1.0	4.0
nadp_c (pp) GLUDy	1.0	4.0
nadp_c (pp) akg_c	1.0	4.0
nadp_c (pp) nadph_c	1.0	4.0
nadp_c (pp) h_c	1.0	4.0
nadp_c (pp) nh4_c	1.0	4.0
glu__L_c (pp) GLUDy	1.0	4.0
glu__L_c (pp) akg_c	1.0	4.0
glu__L_c (pp) nadph_c	1.0	4.0
glu__L_c (pp) h_c	1.0	4.0
glu__L_c (pp) nh4_c	1.0	4.0
GLUDy (pp) GLUDy	1.0	4.0
GLUDy (pp) akg_c	1.0	4.0
GLUDy (pp) nadph_c	1.0	4.0
GLUDy (pp) h_c	1.0	4.0
GLUDy (pp) nh4_c	1.0	4.0
h2o_c (pp) GLUN	1.0	4.0
h2o_c (pp) glu__L_c	1.0	4.0
h2o_c (pp) nh4_c	1.0	4.0
gln__L_c (pp) GLUN	1.0	4.0
gln__L_c (pp) glu__L_c	1.0	4.0
gln__L_c (pp) nh4_c	1.0	4.0
GLUN (pp) GLUN	1.0	4.0
GLUN (pp) glu__L_c	1.0	4.0
GLUN (pp) nh4_c	1.0	4.0
akg_c (pp) GLUSy	1.0	0.25
akg_c (pp) nadp_c	1.0	0.25
akg_c (pp) glu__L_c	1.0	0.25
nadph_c (pp) GLUSy	1.0	0.25
nadph_c (pp) nadp_c	1.0	0.25
nadph_c (pp) glu__L_c	1.0	0.25
h_c (pp) GLUSy	1.0	0.25
h_c (pp) nadp_c	1.0	0.25
h_c (pp) glu__L_c	1.0	0.25
gln__L_c (pp) GLUSy	1.0	0.25
gln__L_c (pp) nadp_c	1.0	0.25
gln__L_c (pp) glu__L_c	1.0	0.25
GLUSy (pp) GLUSy	1.0	0.25
GLUSy (pp) nadp_c	1.0	0.25
GLUSy (pp) glu__L_c	1.0	0.25
h_e (pp) GLUt2r	1.0	4.0
h_e (pp) glu__L_c	1.0	4.0
h_e (pp) h_c	1.0	4.0
glu__L_e (pp) GLUt2r	1.0	4.0
glu__L_e (pp) glu__L_c	1.0	4.0
glu__L_e (pp) h_c	1.0	4.0
GLUt2r (pp) GLUt2r	1.0	4.0
GLUt2r (pp) glu__L_c	1.0	4.0
GLUt2r (pp) h_c	1.0	4.0
6pgc_c (pp) GND	1.0	4.0
6pgc_c (pp) nadph_c	1.0	4.0
6pgc_c (pp) co2_c	1.0	4.0
6pgc_c (pp) ru5p__D_c	1.0	4.0
nadp_c (pp) GND	1.0	4.0
nadp_c (pp) nadph_c	1.0	4.0
nadp_c (pp) co2_c	1.0	4.0
nadp_c (pp) ru5p__D_c	1.0	4.0
GND (pp) GND	1.0	4.0
GND (pp) nadph_c	1.0	4.0
GND (pp) co2_c	1.0	4.0
GND (pp) ru5p__D_c	1.0	4.0
h2o_e (pp) H2Ot	1.0	0.25
h2o_e (pp) h2o_c	1.0	0.25
H2Ot (pp) H2Ot	1.0	0.25
H2Ot (pp) h2o_c	1.0	0.25
icit_c (pp) ICDHyr	1.0	4.0
icit_c (pp) akg_c	1.0	4.0
icit_c (pp) nadph_c	1.0	4.0
icit_c (pp) co2_c	1.0	4.0
nadp_c (pp) ICDHyr	1.0	4.0
nadp_c (pp) akg_c	1.0	4.0
nadp_c (pp) nadph_c	1.0	4.0
nadp_c (pp) co2_c	1.0	4.0
ICDHyr (pp) ICDHyr	1.0	4.0
ICDHyr (pp) akg_c	1.0	4.0
ICDHyr (pp) nadph_c	1.0	4.0
ICDHyr (pp) co2_c	1.0	4.0
icit_c (pp) ICL	1.0	1.0
icit_c (pp) succ_c	1.0	1.0
icit_c (pp) glx_c	1.0	1.0
ICL (pp) ICL	1.0	1.0
ICL (pp) succ_c	1.0	1.0
ICL (pp) glx_c	1.0	1.0
lac__D_c (pp) LDH_D	1.0	4.0
lac__D_c (pp) pyr_c	1.0	4.0
lac__D_c (pp) nadh_c	1.0	4.0
lac__D_c (pp) h_c	1.0	4.0
nad_c (pp) LDH_D	1.0	4.0
nad_c (pp) pyr_c	1.0	4.0
nad_c (pp) nadh_c	1.0	4.0
nad_c (pp) h_c	1.0	4.0
LDH_D (pp) LDH_D	1.0	4.0
LDH_D (pp) pyr_c	1.0	4.0
LDH_D (pp) nadh_c	1.0	4.0
LDH_D (pp) h_c	1.0	4.0
h2o_c (pp) MALS	1.0	4.0
h2o_c (pp) mal__L_c	1.0	4.0
h2o_c (pp) h_c	1.0	4.0
h2o_c (pp) coa_c	1.0	4.0
glx_c (pp) MALS	1.0	4.0
glx_c (pp) mal__L_c	1.0	4.0
glx_c (pp) h_c	1.0	4.0
glx_c (pp) coa_c	1.0	4.0
accoa_c (pp) MALS	1.0	4.0
